Date,RANDWICK SO2 24h maximum [pphm],LIVERPOOL SO2 24h maximum [pphm],NEWCASTLE SO2 24h maximum [pphm],WOLLONGONG SO2 24h maximum [pphm],PARRAMATTA NORTH SO2 24h maximum [pphm],PENRITH SO2 24h maximum [pphm],RANDWICK NO 24h maximum [pphm],LIVERPOOL NO 24h maximum [pphm],NEWCASTLE NO 24h maximum [pphm],WOLLONGONG NO 24h maximum [pphm],PARRAMATTA NORTH NO 24h maximum [pphm],PENRITH NO 24h maximum [pphm],RANDWICK NO2 24h maximum [pphm],LIVERPOOL NO2 24h maximum [pphm],NEWCASTLE NO2 24h maximum [pphm],WOLLONGONG NO2 24h maximum [pphm],PARRAMATTA NORTH NO2 24h maximum [pphm],PENRITH NO2 24h maximum [pphm],RANDWICK OZONE 24h maximum [pphm],LIVERPOOL OZONE 24h maximum [pphm],NEWCASTLE OZONE 24h maximum [pphm],WOLLONGONG OZONE 24h maximum [pphm],PARRAMATTA NORTH OZONE 24h maximum [pphm],PENRITH OZONE 24h maximum [pphm],RANDWICK PM10 24h maximum  ,LIVERPOOL PM10 24h maximum  ,NEWCASTLE PM10 24h maximum  ,WOLLONGONG PM10 24h maximum  ,PARRAMATTA NORTH PM10 24h maximum  ,PENRITH PM10 24h maximum  ,RANDWICK PM2.5 24h maximum  ,LIVERPOOL PM2.5 24h maximum  ,NEWCASTLE PM2.5 24h maximum  ,WOLLONGONG PM2.5 24h maximum,PARRAMATTA NORTH PM2.5 24h maximum ,PENRITH PM2.5 24h maximum  ,LIVERPOOL CO 24h maximum [ppm],NEWCASTLE CO 24h maximum [ppm],WOLLONGONG CO 24h maximum [ppm],PARRAMATTA NORTH CO 24h maximum [ppm],PENRITH CO 24h maximum [ppm]
18/05/2020,0.2,0.1,0.3,0.3,0.1,,8.6,11.2,3.9,2.5,7.3,,2.1,2.6,2.2,2.3,2.1,,2.5,1.2,2.4,2.5,0.9,,23.2,29.4,18.6,18.1,31.5,,17.3,22.3,,16.1,27.6,,0.4,0.2,0.4,0.8,
19/05/2020,0.1,0.3,0.2,0.1,0.2,,4.7,10.8,12.1,3.8,3.6,,2,2.8,2.1,2.6,1.6,,2.6,2.3,2.7,2.6,2.5,,18.6,23.8,36.1,18.1,17.9,,12.4,24.3,,12.7,15.3,,0.4,0.4,0.3,0.7,
20/05/2020,0.3,0.2,0.6,0.3,0.1,,1.2,10.3,3.7,4.3,4.6,,1.4,2,1.8,2.3,1.9,,2.3,2.2,1.7,2.2,2.4,,17.9,28.7,39.4,20.2,31.4,,11.2,24.2,,12.8,,,0.5,0.4,0.3,0.4,
21/05/2020,0.2,0.1,0.3,0.4,0.1,,5.9,7.1,4.4,1.6,7.6,,2,2.3,1.9,2,2.5,,2,1.9,1.2,2.4,2,,23.4,21.1,32.4,21.2,29.9,,16.2,20.6,,13.3,,,0.2,0.4,0.2,0.4,
22/05/2020,0.3,0,0.3,0,0,,0.3,0.1,0.3,0.1,1.4,,1.3,1,0.8,0.5,2,,2.4,2.4,2.4,2.5,2.4,,11.7,11.1,7.3,15.1,19.2,,10.1,14.6,,3.7,5.4,,0.1,0.3,0.1,0.2,
23/05/2020,0.3,0,0.4,0,0,,0.2,0.2,0.3,0.1,2.9,,0.5,1.6,0.9,0.3,1.9,,2.4,2.3,1.7,2.5,2.2,,8.5,15.5,15.3,7.1,15.8,,8.6,16.6,,10.7,16.7,,0.1,0.1,0.1,0.3,
24/05/2020,0.5,0,0.7,0,0,,0.1,0,0.3,0.1,0,,0.2,0.6,0.8,0.2,0.3,,2.8,2.5,2.6,2.8,2.8,,34.1,21.1,31.6,19.6,15,,13.8,11.2,,15.6,7.1,,0,0.1,0.1,0.3,
25/05/2020,0.4,0,0.4,0,0,,0.1,0.2,0.1,0,0.1,,0.5,1.6,1,0.6,1.4,,2.5,2.4,2.4,2.7,2.5,,21.7,13,11.7,12,13.2,,11.5,23.8,,15.3,7.6,,0,0.2,0.1,0.2,
26/05/2020,0.3,0,0.2,0.1,0,,0.1,1.6,0.1,0.3,0.8,,0.9,2.6,0.8,1.2,1.6,,2.9,2.3,3,2.7,2.4,,35,22.4,47.4,31.6,25.2,,17.8,19.7,,16.2,11.5,,0,0.2,0.1,0.2,
27/05/2020,0.1,0.2,0.1,0.3,0.2,,5.1,9.4,1.8,2.7,14.2,,2.1,2.6,1.6,2.4,2.8,,2.6,2.1,2.5,2.6,2.1,,21.7,27.7,25.7,23.9,26.2,,15.5,16.6,,8.6,20.2,,0.5,0.4,0.3,0.6,
